pin_key,article_slug,pin_file,title,board,media_url,destination_url,publish_date,status,pinterest_url,notes
"dark-apartment-lighting/pin-01","dark-apartment-lighting","pin-01.png","Apartment Has No Ceiling Light?","Renter-Friendly Fixes","https://apartmentsurvivalkits.com/promo/dark-apartment-lighting/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/daily-fixes/dark-apartment-lighting/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=dark-apartment-lighting-pin-01","2026-08-05T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"dark-apartment-lighting/pin-02","dark-apartment-lighting","pin-02.png","Dark Rental Room? Fix It Without Drilling","Renter-Friendly Fixes","https://apartmentsurvivalkits.com/promo/dark-apartment-lighting/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/daily-fixes/dark-apartment-lighting/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=dark-apartment-lighting-pin-02","2026-08-06T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"dark-apartment-lighting/pin-03","dark-apartment-lighting","pin-03.png","Stop Buying Tiny Lamps First","Renter-Friendly Fixes","https://apartmentsurvivalkits.com/promo/dark-apartment-lighting/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/daily-fixes/dark-apartment-lighting/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=dark-apartment-lighting-pin-03","2026-08-07T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"no-pantry-organization/pin-01","no-pantry-organization","pin-01.png","No Pantry in Your Apartment?","Small Kitchen Organization","https://apartmentsurvivalkits.com/promo/no-pantry-organization/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/kitchen/no-pantry-organization/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=no-pantry-organization-pin-01","2026-08-08T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"no-pantry-organization/pin-02","no-pantry-organization","pin-02.png","Small Kitchen Storage Without Drilling","Small Kitchen Organization","https://apartmentsurvivalkits.com/promo/no-pantry-organization/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/kitchen/no-pantry-organization/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=no-pantry-organization-pin-02","2026-08-09T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"no-pantry-organization/pin-03","no-pantry-organization","pin-03.png","Do Not Buy Containers First","Small Kitchen Organization","https://apartmentsurvivalkits.com/promo/no-pantry-organization/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/kitchen/no-pantry-organization/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=no-pantry-organization-pin-03","2026-08-10T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"cable-management/pin-01","cable-management","pin-01.png","Cable Management for Renters","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/cable-management/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/no-drill/cable-management/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=cable-management-pin-01","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"cable-management/pin-02","cable-management","pin-02.png","Hide Cords Without Drilling","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/cable-management/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/no-drill/cable-management/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=cable-management-pin-02","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"cable-management/pin-03","cable-management","pin-03.png","Do Not Stick a Raceway Everywhere","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/cable-management/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/no-drill/cable-management/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=cable-management-pin-03","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"open-first-box/pin-01","open-first-box","pin-01.png","Your First Box to Open on Moving Day","Moving Day Checklists","https://apartmentsurvivalkits.com/promo/open-first-box/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/move-in/open-first-box/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=open-first-box-pin-01","2026-08-11T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
